experiment_id,scenario,date,coin,oos_trades,oos_wr,oos_pf,oos_pnl,oos_sharpe,oos_dd,oos_rr,n_long,n_short,wr_long,wr_short
v12_test_20260308_2306,baseline,2026-03-08 23:06,BTC,120,50.83,1.593,375.64,2.049,-0.68,1.541,76,44,46.1,59.1
v12_test_20260308_2306,baseline,2026-03-08 23:06,XRP,102,50.98,1.547,451.96,1.93,-1.47,1.487,74,28,44.6,67.9
v12_test_20260308_2306,baseline,2026-03-08 23:06,ADA,105,43.81,1.254,250.55,1.025,-1.51,1.608,77,28,40.3,53.6
v12_test_20260308_2306,baseline,2026-03-08 23:06,DOT,102,50.98,1.653,627.2,2.185,-0.99,1.59,70,32,42.9,68.8
v12_test_20260308_2306,baseline,2026-03-08 23:06,SUI,125,44.8,1.512,625.26,1.975,-1.58,1.863,88,37,37.5,62.2
v12_test_20260308_2306,baseline,2026-03-08 23:06,FIL,109,47.71,1.472,521.84,1.741,-1.75,1.613,75,34,38.7,67.6
v12_test_20260308_2306,drop_dot,2026-03-08 23:06,BTC,120,50.83,1.593,375.64,2.049,-0.68,1.541,76,44,46.1,59.1
v12_test_20260308_2306,drop_dot,2026-03-08 23:06,XRP,102,50.98,1.547,451.96,1.93,-1.47,1.487,74,28,44.6,67.9
v12_test_20260308_2306,drop_dot,2026-03-08 23:06,ADA,105,43.81,1.254,250.55,1.025,-1.51,1.608,77,28,40.3,53.6
v12_test_20260308_2306,drop_dot,2026-03-08 23:06,SUI,125,44.8,1.512,625.26,1.975,-1.58,1.863,88,37,37.5,62.2
v12_test_20260308_2306,drop_dot,2026-03-08 23:06,FIL,109,47.71,1.472,521.84,1.741,-1.75,1.613,75,34,38.7,67.6
v12_test_20260308_2306,tighter_hold,2026-03-08 23:06,BTC,173,52.02,1.648,470.26,2.696,-0.8,1.519,120,53,47.5,62.3
v12_test_20260308_2306,tighter_hold,2026-03-08 23:06,XRP,125,50.4,1.444,373.04,1.685,-1.67,1.421,94,31,46.8,61.3
v12_test_20260308_2306,tighter_hold,2026-03-08 23:06,ADA,126,46.83,1.216,214.46,0.941,-1.37,1.381,97,29,44.3,55.2
v12_test_20260308_2306,tighter_hold,2026-03-08 23:06,DOT,124,50.0,1.524,510.4,1.94,-2.07,1.524,88,36,45.5,61.1
v12_test_20260308_2306,tighter_hold,2026-03-08 23:06,SUI,143,49.65,1.596,681.9,2.416,-1.24,1.618,105,38,42.9,68.4
